Slice #,Xt,Yt
11,102.896995708155,173.497854077253
11,103.648068669528,172.74678111588
11,103.648068669528,171.995708154506
11,104.399141630901,171.244635193133
11,104.399141630901,170.49356223176
11,104.399141630901,169.742489270386
11,105.150214592275,168.991416309013
11,105.150214592275,168.240343347639
11,105.901287553648,167.489270386266
11,105.901287553648,166.738197424893
11,105.901287553648,165.987124463519
11,105.901287553648,165.236051502146
11,105.901287553648,164.484978540773
11,105.901287553648,163.733905579399
11,106.652360515021,162.982832618026
11,105.901287553648,162.231759656652
11,105.901287553648,161.480686695279
11,105.901287553648,160.729613733906
11,105.901287553648,159.978540772532
11,105.901287553648,159.227467811159
11,105.901287553648,158.476394849785
11,105.901287553648,157.725321888412
11,105.901287553648,156.974248927039
11,105.901287553648,156.223175965665
11,105.901287553648,155.472103004292
11,106.652360515021,154.721030042918
11,106.652360515021,153.969957081545
11,107.403433476395,153.218884120172
11,107.403433476395,152.467811158798
11,108.154506437768,151.716738197425
11,108.154506437768,150.965665236052
11,108.905579399142,150.214592274678
11,108.905579399142,149.463519313305
11,109.656652360515,148.712446351931
11,109.656652360515,147.961373390558
11,109.656652360515,147.210300429185
11,110.407725321888,146.459227467811
11,110.407725321888,145.708154506438
11,111.158798283262,144.957081545064
11,111.158798283262,144.206008583691
11,111.909871244635,143.454935622318
11,111.909871244635,142.703862660944
11,111.909871244635,141.952789699571
11,112.660944206009,141.201716738197
11,112.660944206009,140.450643776824
11,112.660944206009,139.699570815451
11,113.412017167382,138.948497854077
11,113.412017167382,138.197424892704
11,113.412017167382,137.44635193133
11,114.163090128755,136.695278969957
11,114.163090128755,135.944206008584
11,114.163090128755,135.19313304721
11,114.914163090129,134.442060085837
11,114.914163090129,133.690987124464
11,114.914163090129,132.93991416309
11,114.914163090129,132.188841201717
11,114.914163090129,131.437768240343
11,114.914163090129,130.68669527897
11,115.665236051502,129.935622317597
11,115.665236051502,129.184549356223
11,116.416309012876,128.43347639485
11,116.416309012876,127.682403433476
11,117.167381974249,126.931330472103
11,117.167381974249,126.18025751073
11,117.918454935622,125.429184549356
11,118.669527896996,125.429184549356
11,119.420600858369,124.678111587983
11,120.171673819742,124.678111587983
11,120.922746781116,124.678111587983
11,121.673819742489,124.678111587983
11,122.424892703863,124.678111587983
11,123.175965665236,124.678111587983
11,123.927038626609,124.678111587983
11,124.678111587983,124.678111587983
11,125.429184549356,125.429184549356
11,126.18025751073,125.429184549356
11,126.931330472103,126.18025751073
11,127.682403433476,126.18025751073
11,128.43347639485,126.931330472103
11,129.184549356223,126.931330472103
11,129.935622317597,127.682403433476
11,130.68669527897,128.43347639485
11,131.437768240343,129.184549356223
11,132.188841201717,129.935622317597
11,132.93991416309,130.68669527897
11,133.690987124464,131.437768240343
11,134.442060085837,132.188841201717
11,135.19313304721,132.188841201717
11,135.944206008584,132.93991416309
11,136.695278969957,133.690987124464
11,137.44635193133,133.690987124464
11,138.197424892704,134.442060085837
11,138.948497854077,135.19313304721
11,139.699570815451,135.944206008584
11,140.450643776824,136.695278969957
11,141.201716738197,137.44635193133
11,141.201716738197,138.197424892704
11,141.952789699571,138.948497854077
11,141.952789699571,139.699570815451
11,142.703862660944,140.450643776824
11,142.703862660944,141.201716738197
11,143.454935622318,141.952789699571
11,143.454935622318,142.703862660944
11,144.206008583691,143.454935622318
11,144.206008583691,144.206008583691
11,144.206008583691,144.957081545064
11,144.957081545064,145.708154506438
11,144.206008583691,146.459227467811
11,144.957081545064,147.210300429185
11,144.957081545064,147.961373390558
11,144.957081545064,148.712446351931
11,144.957081545064,149.463519313305
11,145.708154506438,150.214592274678
11,144.957081545064,150.965665236052
11,145.708154506438,151.716738197425
11,144.957081545064,152.467811158798
11,145.708154506438,153.218884120172
11,145.708154506438,153.969957081545
11,145.708154506438,154.721030042918
11,145.708154506438,155.472103004292
11,146.459227467811,156.223175965665
11,146.459227467811,156.974248927039
11,146.459227467811,157.725321888412
11,147.210300429185,158.476394849785
11,147.210300429185,159.227467811159
11,147.210300429185,159.978540772532
11,147.961373390558,160.729613733906
11,147.961373390558,161.480686695279
11,148.712446351931,162.231759656652
11,148.712446351931,162.982832618026
11,149.463519313305,163.733905579399
11,149.463519313305,164.484978540773
11,149.463519313305,165.236051502146
11,150.214592274678,165.987124463519
11,150.214592274678,166.738197424893
11,150.965665236052,167.489270386266
11,150.965665236052,168.240343347639
11,150.965665236052,168.991416309013
11,150.965665236052,169.742489270386
11,150.965665236052,170.49356223176
11,150.965665236052,171.244635193133
11,150.214592274678,171.995708154506
