Slice #,Xd,Yd
1,101.177730192719,224.23393546734
1,101.927194860814,224.082120829444
1,102.676659528908,223.947100215883
1,103.426124197002,223.824455479143
1,104.175588865096,223.709768471709
1,104.925053533191,223.598621046065
1,105.674518201285,223.486595054699
1,106.423982869379,223.369272350093
1,107.173447537473,223.242234784735
1,107.922912205567,223.10106421111
1,108.672376873662,222.941342481702
1,109.421841541756,222.758651448997
1,110.17130620985,222.54857296548
1,110.920770877944,222.270221063629
1,111.670235546039,221.959718213698
1,112.419700214133,221.616340295234
1,113.169164882227,221.204170933805
1,113.918629550321,220.778677756054
1,114.668094218415,220.250649122263
1,115.41755888651,219.712193153958
1,116.167023554604,219.165482212498
1,116.916488222698,218.522752899068
1,117.665952890792,217.8775615761
1,118.415417558887,217.288272352047
1,119.164882226981,216.670018309903
1,119.914346895075,216.029316533739
1,120.663811563169,215.427427613816
1,121.413276231263,214.835676380225
1,122.162740899358,214.225387663056
1,122.912205567452,213.694462547456
1,123.661670235546,213.159482357322
1,124.41113490364,212.626964176727
1,125.160599571734,212.138617343719
1,125.910064239829,211.644767195275
1,126.659528907923,211.185674828539
1,127.408993576017,210.764960845773
1,128.158458244111,210.386245849238
1,128.907922912206,210.03504742989
1,129.6573875803,209.660242683797
1,130.406852248394,209.300644467202
1,131.156316916488,208.903681635271
1,131.905781584582,208.56146230953
1,132.655246252677,208.221415345147
1,133.404710920771,207.885713103477
1,134.154175588865,207.556527945877
1,134.903640256959,207.181288727513
1,135.653104925054,206.852103569914
1,136.402569593148,206.479760833359
1,137.152034261242,206.064984638302
1,137.901498929336,205.607050864289
1,138.65096359743,205.121890161272
1,139.400428265525,204.623984938295
1,140.149892933619,204.126369363498
1,140.899357601713,203.69537287031
1,141.648822269807,203.251197384891
1,142.398286937902,202.893916353743
1,143.147751605996,202.59557872741
1,143.89721627409,202.363425710414
1,144.646680942184,202.239890761257
1,145.396145610278,202.139382842483
1,146.145610278373,202.156182436976
1,146.895074946467,202.238442520353
1,147.644539614561,202.369508322213
1,148.394004282655,202.58602033744
1,149.143468950749,202.833235059843
1,149.892933618844,203.146344743403
1,150.642398286938,203.469157641022
1,151.391862955032,203.780674259587
1,152.141327623126,204.113190371267
1,152.890792291221,204.444258242042
1,153.640256959315,204.751430137893
1,154.389721627409,204.975617829914
1,155.139186295503,205.184309344257
1,155.888650963597,205.318416452017
1,156.638115631692,205.410234925364
1,157.387580299786,205.45686828249
1,158.13704496788,205.45686828249
1,158.886509635974,205.446875420248
1,159.635974304069,205.338402176499
1,160.385438972163,205.189088539242
1,161.134903640257,204.966638736306
1,161.884368308351,204.730140996597
1,162.633832976445,204.448747788847
1,163.38329764454,204.128252076674
1,164.132762312634,203.792549835004
1,164.882226980728,203.428896543876
1,165.631691648822,203.059739937312
1,166.381156316916,202.74272000331
1,167.130620985011,202.444092728796
1,167.880085653105,202.183409365981
1,168.629550321199,202.015413421055
1,169.379014989293,201.903464399135
1,170.128479657388,201.900857565507
1,170.877944325482,202.006144679266
1,171.627408993576,202.163133993317
1,172.37687366167,202.405569520736
1,173.126338329764,202.730554779712
1,173.875802997859,203.117090277131
1,174.625267665953,203.544176519877
1,175.374732334047,203.990814014834
1,176.124197002141,204.436003268887
1,176.873661670236,204.822104294034
1,177.62312633833,205.126669356257
1,178.372591006424,205.380545986821
1,179.122055674518,205.577941222108
1,179.871520342612,205.676421603616
1,180.620985010707,205.686848938129
1,181.370449678801,205.618636791526
1,182.119914346895,205.479750488781
1,182.869379014989,205.331450620157
1,183.618843683083,205.198357281031
1,184.368308351178,205.105090566779
1,185.117773019272,205.021527066588
1,185.867237687366,205.007479129814
1,186.61670235546,205.08611861093
1,187.366167023555,205.225873858217
1,188.115631691649,205.521749475013
1,188.865096359743,205.887430303406
1,189.614561027837,206.363177440545
1,190.364025695931,206.897867982497
1,191.113490364026,207.530314785505
1,191.113490364026,208.207946704735
1,191.86295503212,208.913384849331
1,192.612419700214,209.66444258242
1,192.612419700214,210.350908771168
1,193.361884368308,211.042443803081
1,194.111349036403,211.680683569707
1,194.860813704497,212.260559227881
1,195.610278372591,212.775553693532
1,196.359743040685,213.217701641684
1,197.109207708779,213.632333012651
1,197.858672376874,214.028137251859
1,198.608137044968,214.413803804736
1,199.357601713062,214.798022116708
1,200.107066381156,215.189481633202
1,200.856531049251,215.596871799646
1,201.605995717345,216.028882061468
1,202.355460385439,216.530842358978
1,203.104925053533,217.058146872317
1,203.854389721627,217.620933287817
1,204.603854389722,218.22933929181
1,204.603854389722,218.838759064436
1,205.353319057816,219.531163040892
1,206.10278372591,220.243842390011
1,206.10278372591,221.005472281704
1,206.852248394004,221.754792125707
1,207.601713062098,222.521925332837
1,208.351177730193,223.247059553735
1,209.100642398287,223.907022933929
1,209.850107066381,224.533387125138
1,210.599571734475,225.06778801891
1,211.34903640257,225.506605012982
1,212.098501070664,225.864320516401
1,212.847965738758,226.155416938212
1,213.597430406852,226.431017182344
1,214.346895074946,226.652308392556
1,215.096359743041,226.835221218798
1,215.845824411135,227.032326805905
1,216.595289079229,227.206260538539
1,217.344753747323,227.411041802439
1,218.094218415418,227.610754223174
1,218.843683083512,227.824224932502
1,219.593147751606,228.052178050875
1,220.3426124197,228.295337698745
1,221.092077087794,228.572531007872
1,221.841541755889,228.902585110015
1,222.591006423983,229.304327136931
1,223.340471092077,229.778481209074
1,224.089935760171,230.271027940705
1,224.839400428266,230.817883706255
1,225.58886509636,231.363580879082
1,226.338329764454,231.942587592713
1,227.087794432548,232.4979879796
1,227.837259100642,233.026161437483
1,228.586723768737,233.558679618078
1,229.336188436831,234.03573017203
1,230.085653104925,234.542180016344
1,230.835117773019,235.03631981297
1,231.584582441113,235.531183730048
1,232.334047109208,235.985062429528
1,233.083511777302,236.44618233353
1,233.832976445396,236.926129369291
1,234.58244111349,237.381745957856
1,235.331905781585,237.859810280441
1,236.081370449679,238.315716517187
1,236.830835117773,238.794794608406
1,237.580299785867,239.342374494409
1,238.329764453961,239.859106849145
1,239.079229122056,240.390321612927
1,239.82869379015,240.981348726065
1,240.578158458244,241.587582368701
1,240.578158458244,242.219160227167
1,241.327623126338,242.831476481602
1,242.077087794433,243.469861072319
1,242.077087794433,244.088259938553
1,242.826552462527,244.730554779712
1,243.576017130621,245.385883789012
1,244.325481798715,246.043385159668
1,245.074946466809,246.710300096205
1,245.824411134904,247.375766791836
1,246.573875802998,248.028923439779
1,247.323340471092,248.622267738365
1,247.323340471092,249.234873640981
1,248.072805139186,249.819238845959
1,248.822269807281,250.382604557821
1,249.571734475375,250.93221198109
1,249.571734475375,251.475302320289
1,250.321199143469,252.01911677994
1,251.070663811563,252.570896564566
1,251.820128479657,253.137882878689
1,252.569593147752,253.727316926833
1,253.319057815846,254.291696407328
1,254.06852248394,254.873454778678
1,254.817987152034,255.4783850045
1,255.567451820128,256.057536542221
1,256.316916488223,256.65189460944
1,257.066381156317,257.265803928871
1,257.815845824411,257.91684391703
1,258.565310492505,258.584617164172
1,259.3147751606,259.269313562024
1,260.064239828694,259.971123002312
1,260.064239828694,260.690235376764
1,260.813704496788,261.426840577106
1,261.563169164882,262.181128495066
1,262.312633832976,262.95328902237
1,263.062098501071,263.743512050746
1,263.811563169165,264.55198747192
1,264.561027837259,265.37890517762
1,265.310492505353,266.224455059573
2,101.177730192719,220.695949779462
2,101.927194860814,220.929116565091
2,102.676659528908,221.124461982483
2,103.426124197002,221.280975807649
2,104.175588865096,221.397647816603
2,104.925053533191,221.473467785357
2,105.674518201285,221.507425489922
2,106.423982869379,221.498510706313
2,107.173447537473,221.44571321054
2,107.922912205567,221.348022778616
2,108.672376873662,221.204429186554
2,109.421841541756,221.013922210366
2,110.17130620985,220.775491626064
2,110.920770877944,220.480774601992
2,111.670235546039,220.132907136724
2,112.419700214133,219.693076374019
2,113.169164882227,219.21385345871
2,113.918629550321,218.657873775461
2,114.668094218415,218.07915671001
2,115.41755888651,217.441785887927
2,116.167023554604,216.801228935853
2,116.916488222698,216.177761226453
2,117.665952890792,215.501722372219
2,118.415417558887,214.921412241773
2,119.164882226981,214.313875182323
2,119.914346895075,213.774115797205
2,120.663811563169,213.2705624347
2,121.413276231263,212.771643443089
2,122.162740899358,212.280979424635
2,122.912205567452,211.855486246884
2,123.661670235546,211.460695776309
2,124.41113490364,211.097332133362
2,125.160599571734,210.764671197592
2,125.910064239829,210.497181102525
2,126.659528907923,210.237945980614
2,127.408993576017,210.019985724482
2,128.158458244111,209.839679731868
2,128.907922912206,209.693407400511
2,129.6573875803,209.559445116842
2,130.406852248394,209.416069267294
2,131.156316916488,209.296299744489
2,131.905781584582,209.14322068088
2,132.655246252677,208.991300209995
2,133.404710920771,208.78507070519
2,134.154175588865,208.560448540897
2,134.903640256959,208.226773836494
2,135.653104925054,207.874706472602
2,136.402569593148,207.468330074791
2,137.152034261242,207.008368763513
2,137.901498929336,206.495546659219
2,138.65096359743,205.893947387477
2,139.400428265525,205.257590334026
2,140.149892933619,204.640494884606
2,140.899357601713,204.006744664784
2,140.899357601713,203.411807301203
2,141.648822269807,202.821214660336
2,142.398286937902,202.255242114845
2,143.147751605996,201.734165037396
2,143.89721627409,201.223515294458
2,144.646680942184,200.778760512677
2,145.396145610278,200.36398431762
2,146.145610278373,200.033206095025
2,146.895074946467,199.749061229556
2,147.644539614561,199.509377359857
2,148.394004282655,199.310533883665
2,149.143468950749,199.147461957815
2,149.892933618844,199.050284993121
2,150.642398286938,198.957742399321
2,151.391862955032,198.861868851441
2,152.141327623126,198.753250783602
2,152.890792291221,198.639129400325
2,153.640256959315,198.525297665229
2,154.389721627409,198.416100301027
2,155.139186295503,198.277793294645
2,155.888650963597,198.165120152272
2,156.638115631692,198.094735644312
2,157.387580299786,198.081846300262
2,158.13704496788,198.122107397408
2,158.886509635974,198.246366467016
2,159.635974304069,198.394087039278
2,160.385438972163,198.63130889944
2,161.134903640257,198.897495577693
2,161.884368308351,199.186854110418
2,162.633832976445,199.493591533997
2,163.38329764454,199.811914884813
2,164.132762312634,200.136031199247
2,164.882226980728,200.460147513681
2,165.631691648822,200.778470864496
2,166.381156316916,201.085208288076
2,167.130620985011,201.337926325916
2,167.880085653105,201.584127279686
2,168.629550321199,201.761826438672
2,169.379014989293,201.898974852331
2,170.128479657388,201.986883075236
2,170.877944325482,202.01686166196
2,171.627408993576,202.034964673266
2,172.37687366167,201.997310409749
2,173.126338329764,201.98804166796
2,173.875802997859,201.966173230301
2,174.625267665953,201.946911626271
2,175.374732334047,201.946911626271
2,176.124197002141,201.984276241608
2,176.873661670236,202.060453713186
2,177.62312633833,202.123597016624
2,178.372591006424,202.139962138845
2,179.122055674518,202.110997320754
2,179.871520342612,202.036702562352
2,180.620985010707,201.93373263404
2,181.370449678801,201.817294065316
2,182.119914346895,201.701145144772
2,182.869379014989,201.597595920098
2,183.618843683083,201.517508198078
2,184.368308351178,201.47029554459
2,185.117773019272,201.46392328461
2,185.867237687366,201.5596520084
2,186.61670235546,201.727358305144
2,187.366167023555,201.97211101801
2,188.115631691649,202.297530749258
2,188.115631691649,202.705789860245
2,188.115631691649,203.197612471423
2,188.865096359743,203.772274462341
2,188.865096359743,204.42760347164
2,188.865096359743,205.141875885755
2,188.865096359743,205.928560345095
2,189.614561027837,206.727844500305
2,189.614561027837,207.569851762199
2,190.364025695931,208.429962035399
2,191.113490364026,209.192171223453
2,191.113490364026,209.920346750251
2,191.86295503212,210.641715544797
2,192.612419700214,211.293568775926
2,193.361884368308,211.904581613547
2,194.111349036403,212.46823697359
2,194.860813704497,212.979466012889
2,195.610278372591,213.434648129183
2,196.359743040685,213.831610961115
2,197.109207708779,214.132989893347
2,197.858672376874,214.356163816735
2,198.608137044968,214.518511622133
2,199.357601713062,214.637412200395
2,200.107066381156,214.730244442375
2,200.856531049251,214.814387238929
2,201.605995717345,214.907219480909
2,202.355460385439,215.026120059171
2,203.104925053533,215.188467864569
2,203.854389721627,215.411641787957
2,204.603854389722,215.71302072019
2,205.353319057816,216.05524004593
2,206.10278372591,216.472767898706
2,206.10278372591,216.963431917161
2,206.852248394004,217.488419245053
2,206.852248394004,218.080749775005
2,207.601713062098,218.736802904757
2,207.601713062098,219.452958032047
2,207.601713062098,220.207491543308
2,208.351177730193,220.97867982497
2,209.100642398287,221.744799263466
2,209.850107066381,222.447485750344
2,210.599571734475,223.118310937322
2,211.34903640257,223.697462475044
2,212.098501070664,224.178423279438
2,212.847965738758,224.644612026606
2,213.597430406852,225.052871137593
2,214.346895074946,225.414786539635
2,215.096359743041,225.741944159968
2,215.845824411135,226.082570420714
2,216.595289079229,226.394955983821
2,217.344753747323,226.692135017431
2,218.094218415418,226.987141689683
2,218.843683083512,227.329650663605
2,219.593147751606,227.679400842049
2,220.3426124197,228.050874634061
2,221.092077087794,228.49519494357
2,221.841541755889,228.95544590303
2,222.591006423983,229.429455151083
2,223.340471092077,229.933153337678
2,224.089935760171,230.46436810146
2,224.839400428266,231.02092708107
2,225.58886509636,231.564017420269
2,226.338329764454,232.090018516794
