Slice #,Xt,Yt
1,188.865096359743,153.640256959315
1,189.614561027837,152.890792291221
1,189.614561027837,152.141327623126
1,190.364025695931,151.391862955032
1,190.364025695931,150.642398286938
1,191.113490364026,149.892933618844
1,191.86295503212,149.143468950749
1,191.86295503212,148.394004282655
1,192.612419700214,147.644539614561
1,192.612419700214,146.895074946467
1,193.361884368308,146.145610278373
1,193.361884368308,145.396145610278
1,194.111349036403,144.646680942184
1,194.111349036403,143.89721627409
1,194.111349036403,143.147751605996
1,194.860813704497,142.398286937902
1,194.860813704497,141.648822269807
1,194.860813704497,140.899357601713
1,195.610278372591,140.149892933619
1,195.610278372591,139.400428265525
1,195.610278372591,138.65096359743
1,196.359743040685,137.901498929336
1,197.109207708779,137.152034261242
1,197.858672376874,136.402569593148
1,198.608137044968,135.653104925054
1,199.357601713062,134.903640256959
1,200.107066381156,134.903640256959
1,200.856531049251,134.903640256959
1,201.605995717345,134.903640256959
1,202.355460385439,134.154175588865
1,203.104925053533,134.154175588865
1,203.854389721627,134.154175588865
1,204.603854389722,134.154175588865
1,205.353319057816,134.154175588865
1,206.10278372591,134.903640256959
1,206.852248394004,134.903640256959
1,207.601713062098,134.903640256959
1,208.351177730193,134.154175588865
1,209.100642398287,134.154175588865
1,209.850107066381,134.154175588865
1,210.599571734475,134.154175588865
1,211.34903640257,134.154175588865
1,212.098501070664,134.154175588865
1,212.847965738758,133.404710920771
1,213.597430406852,133.404710920771
1,214.346895074946,133.404710920771
1,215.096359743041,133.404710920771
1,215.845824411135,133.404710920771
1,216.595289079229,133.404710920771
1,217.344753747323,133.404710920771
1,218.094218415418,133.404710920771
1,218.843683083512,133.404710920771
1,219.593147751606,133.404710920771
1,220.3426124197,133.404710920771
1,221.092077087794,134.154175588865
1,221.841541755889,134.154175588865
1,222.591006423983,134.903640256959
1,223.340471092077,134.903640256959
1,224.089935760171,135.653104925054
1,224.839400428266,135.653104925054
1,225.58886509636,136.402569593148
1,226.338329764454,137.152034261242
1,226.338329764454,137.901498929336
1,227.087794432548,138.65096359743
1,227.087794432548,139.400428265525
1,227.837259100642,140.149892933619
1,227.837259100642,140.899357601713
1,227.837259100642,141.648822269807
1,228.586723768737,142.398286937902
1,228.586723768737,143.147751605996
1,228.586723768737,143.89721627409
1,229.336188436831,144.646680942184
1,229.336188436831,145.396145610278
1,229.336188436831,146.145610278373
1,230.085653104925,146.895074946467
1,230.085653104925,147.644539614561
1,230.085653104925,148.394004282655
1,230.085653104925,149.143468950749
1,230.835117773019,149.892933618844
1,230.835117773019,150.642398286938
1,230.835117773019,151.391862955032
1,230.835117773019,152.141327623126
1,230.835117773019,152.890792291221
