Slice #,Xc,Yc
187,211.602280171697,149.742356242606
188,212.051237533036,151.098153828347
189,212.179051011627,152.484540415057
190,212.438211691249,154.120054433749
191,211.971233485516,155.340693305321
192,211.888935120818,154.954484102418
193,211.73256527028,153.513586874566
194,211.070954489521,152.819576191537
195,211.621569009149,151.899454934787
196,211.482118913726,151.517941123497
197,211.581264891275,149.970343115079
198,212.677632859646,151.122737006035
199,212.781733977392,152.120412330063
200,213.021452930447,152.703426124197
201,212.689425135892,154.386118431889
202,212.334248172834,155.001960370359
203,212.63236631369,153.397279829476
204,212.2449873467,152.941892154954
205,211.911998342198,152.524694342751
206,211.925547685719,151.246039512824
207,211.997676227422,151.543100219894
208,211.847533544192,151.357483841817
209,212.773374468474,150.354689101556
210,213.26017130621,151.31350983064
211,213.28967921464,151.16738561483
212,213.196553956476,152.158757034012
213,212.570386232056,153.300222063605
214,213.368720531612,154.956218395311
215,212.563446744389,154.63954318344
216,211.630945130935,153.89810030843
217,212.144896502498,153.32619557459
218,212.050590087315,152.093416639778
219,211.425018995648,151.692339573116
220,212.101970814498,151.03100959632
221,212.301627008745,151.619504092537
222,211.998801642339,151.347170107852
223,212.628355161596,151.081619441263
224,212.932810795523,151.087834834956
225,212.961939628376,150.196863991158
226,213.050802506729,151.075575113451
227,213.745161423159,151.817040026355
228,213.248842189134,152.510831133908
229,212.790863668808,153.633119200571
230,213.119864548578,154.769682784722
231,212.15694556313,154.420662829303
232,212.402431442979,154.693651999724
233,212.647152239173,154.020368226387
234,211.38954800625,152.090688118525
235,212.256644991454,151.766595289079
236,212.256098781244,151.721067061578
237,211.77533740644,150.002946781133
238,212.55033144473,150.606538733441
239,212.795919581252,151.079586009993
